export id,app settings,dataset,dataset id,ROI Name,Channel Identifier,Raw Channel Identifier,id,x,y,Number of localisations,Skew,Circularity,Density (nm^-2),Area (nm^2),Discretised area (nm^2),Radius of gyration (nm),Length (nm),Count Type,Counts in Channel 1,Counts in Channel 2,Positivity in Channel 1,Positivity in Channel 2
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78375,4058.3777,20034.854,161,1.268493,0.77944154,0.002956244,54461,30000,70.64724,234.11087,binned,60,7,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78374,26139.174,5173.469,60,2.3014455,0.78779405,0.005710942,10506.148,10000,40.729546,144.40317,binned,14,10,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78371,21845.355,12182.4,19,1.245551,0.6094809,9.02E-05,210528,4400,250.18687,737.154,binned,7,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78368,28245.668,12576.058,358,1.1573203,0.89028347,0.023752593,15072.039,14800,32.501823,94.45729,binned,38,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78367,27880.137,12249.343,55,1.144223,0.5815443,0.003894712,14121.711,8000,42.568264,137.2137,binned,19,1,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78366,28495.967,18217.65,29,3.5121613,0.69205713,0.000403387,71891.25,8000,129.94641,332.72272,binned,10,2,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78362,15013.897,17302.416,204,1.1451167,0.79815835,0.002572659,79295.375,42000,88.363045,260.05356,binned,74,24,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78358,33054.844,10957.75,17,1.9962626,0.6861056,3.74E-05,454016.75,5200,337.71002,1187.1919,binned,6,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78355,13694.77,16410.059,42,1.0214683,0.6518404,0.005252113,7996.7812,5600,32.38768,74.79593,binned,13,1,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78354,31568.193,4288.265,35,2.1094499,0.6266279,0.000136985,255503.12,10800,204.0733,751.31036,binned,13,8,TRUE,TRUE
